Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Identifier_encoded
FDA15,9.3,Low Fat,0.016047301,2232.5425970674487,249.8092,OUT049,1999,Medium,1876.9091591289784,2316.1811481083005,3735.138,0.5965362411802437
DRC01,5.92,Regular,0.019278216,2006.5117348314586,48.2692,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,443.4228,0.5952533675432969
FDN15,17.5,Low Fat,0.016760075,2158.9779105882344,141.618,OUT049,1999,Medium,1876.9091591289784,2316.1811481083005,2097.27,0.5965362411802437
FDX07,19.2,Regular,0.0,2289.009591558443,182.095,OUT010,1998,High,2279.6276513432786,339.8285004616805,732.38,0.3559974342527261
NCD19,8.93,Low Fat,0.0,2258.7843002197783,53.8614,OUT013,1987,High,2279.6276513432786,2316.1811481083005,994.7052,0.5978191148171905
FDP36,10.395,Regular,0.0,1952.9712070987655,51.4008,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,556.6088,0.5952533675432969
FDO10,13.65,Regular,0.012741088999999999,2277.3217391666685,57.6588,OUT013,1987,High,2279.6276513432786,2316.1811481083005,343.5528,0.5978191148171905
FDP10,12.857645184135976,Low Fat,0.127469857,2277.3217391666685,107.7622,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,4022.7636,0.5997434252726106
FDH17,16.2,Regular,0.016687114,2132.8677436915864,96.9726,OUT045,2002,High,2323.990558850987,2316.1811481083005,1076.5986,0.5958948043617703
FDU28,19.2,Regular,0.09444959,2132.8677436915864,187.8214,OUT017,2007,High,2323.990558850987,2316.1811481083005,4710.535,0.5939704939063503
FDY07,11.8,Low Fat,0.0,2289.009591558443,45.5402,OUT049,1999,Medium,1876.9091591289784,2316.1811481083005,1516.0266,0.5965362411802437
FDA03,18.5,Regular,0.045463773,2232.5425970674487,144.1102,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,2187.153,0.5965362411802437
FDX32,15.1,Regular,0.1000135,2289.009591558443,145.4786,OUT049,1999,Medium,1876.9091591289784,2316.1811481083005,1589.2646,0.5965362411802437
FDS46,17.6,Regular,0.047257328,2277.3217391666685,119.6782,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,2145.2076,0.5965362411802437
FDF32,16.35,Low Fat,0.06802430000000001,2289.009591558443,196.4426,OUT013,1987,High,2279.6276513432786,2316.1811481083005,1977.4260000000002,0.5978191148171905
FDP49,9.0,Regular,0.06908896099999999,2111.8086509090913,56.3614,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,1547.3192,0.5965362411802437
NCB42,11.8,Low Fat,0.008596051,2010.0002650000006,115.3492,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,1621.8888,0.5952533675432969
FDP49,9.0,Regular,0.06919637599999999,2111.8086509090913,54.3614,OUT049,1999,Medium,1876.9091591289784,2316.1811481083005,718.3982,0.5965362411802437
DRI11,12.857645184135976,Low Fat,0.034237682,2139.2216224299054,113.2834,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,2303.6679999999997,0.5997434252726106
FDU02,13.35,Low Fat,0.10249212,2232.5425970674487,230.5352,OUT035,2004,Small,2323.990558850987,2316.1811481083005,2748.4224,0.5965362411802437
FDN22,18.85,Regular,0.138190277,2277.3217391666685,250.8724,OUT013,1987,High,2279.6276513432786,2316.1811481083005,3775.086,0.5978191148171905
FDW12,12.857645184135976,Regular,0.035399923,1952.9712070987655,144.5444,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,4064.0432,0.5997434252726106
NCB30,14.6,Low Fat,0.025698133999999997,2258.7843002197783,196.5084,OUT035,2004,Small,2323.990558850987,2316.1811481083005,1587.2672,0.5965362411802437
FDC37,12.857645184135976,Low Fat,0.057556998,1952.9712070987655,107.6938,OUT019,1985,Small,1876.9091591289784,339.8285004616805,214.3876,0.33867864015394483
FDR28,13.85,Regular,0.025896485,2132.8677436915864,165.021,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,4078.025,0.5965362411802437
NCD06,13.0,Low Fat,0.099887103,2258.7843002197783,45.906000000000006,OUT017,2007,High,2323.990558850987,2316.1811481083005,838.908,0.5939704939063503
