Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,OUT010,OUT013,OUT017,OUT018,OUT019,OUT027,OUT035,OUT045,OUT046,OUT049
FDA15,9.3,0,0.016047301,1,249.8092,14,1,0,2,3735.138,0,0,0,0,0,0,0,0,0,1
DRC01,5.92,1,0.019278216,1,48.2692,4,1,2,1,443.4228,0,0,0,1,0,0,0,0,0,0
FDN15,17.5,0,0.016760075,1,141.618,14,1,0,2,2097.27,0,0,0,0,0,0,0,0,0,1
FDX07,19.2,1,0.0,2,182.095,15,2,2,0,732.38,1,0,0,0,0,0,0,0,0,0
NCD19,8.93,0,0.0,2,53.8614,26,2,2,2,994.7052,0,1,0,0,0,0,0,0,0,0
FDP36,10.395,1,0.0,2,51.4008,4,1,2,1,556.6088,0,0,0,1,0,0,0,0,0,0
FDO10,13.65,1,0.012741088999999999,2,57.6588,26,2,2,2,343.5528,0,1,0,0,0,0,0,0,0,0
FDP10,12.857645184135976,0,0.127469857,2,107.7622,28,1,2,3,4022.7636,0,0,0,0,0,1,0,0,0,0
FDH17,16.2,1,0.016687114,2,96.9726,11,2,2,2,1076.5986,0,0,0,0,0,0,0,1,0,0
FDU28,19.2,1,0.09444959,2,187.8214,6,2,2,2,4710.535,0,0,1,0,0,0,0,0,0,0
FDY07,11.8,0,0.0,2,45.5402,14,1,0,2,1516.0266,0,0,0,0,0,0,0,0,0,1
FDA03,18.5,1,0.045463773,1,144.1102,16,0,0,2,2187.153,0,0,0,0,0,0,0,0,1,0
FDX32,15.1,1,0.1000135,2,145.4786,14,1,0,2,1589.2646,0,0,0,0,0,0,0,0,0,1
FDS46,17.6,1,0.047257328,2,119.6782,16,0,0,2,2145.2076,0,0,0,0,0,0,0,0,1,0
FDF32,16.35,0,0.06802430000000001,2,196.4426,26,2,2,2,1977.4260000000002,0,1,0,0,0,0,0,0,0,0
FDP49,9.0,1,0.06908896099999999,0,56.3614,16,0,0,2,1547.3192,0,0,0,0,0,0,0,0,1,0
NCB42,11.8,0,0.008596051,1,115.3492,4,1,2,1,1621.8888,0,0,0,1,0,0,0,0,0,0
FDP49,9.0,1,0.06919637599999999,0,54.3614,14,1,0,2,718.3982,0,0,0,0,0,0,0,0,0,1
DRI11,12.857645184135976,0,0.034237682,1,113.2834,28,1,2,3,2303.6679999999997,0,0,0,0,0,1,0,0,0,0
FDU02,13.35,0,0.10249212,1,230.5352,9,0,2,2,2748.4224,0,0,0,0,0,0,1,0,0,0
FDN22,18.85,1,0.138190277,2,250.8724,26,2,2,2,3775.086,0,1,0,0,0,0,0,0,0,0
FDW12,12.857645184135976,1,0.035399923,2,144.5444,28,1,2,3,4064.0432,0,0,0,0,0,1,0,0,0,0
NCB30,14.6,0,0.025698133999999997,2,196.5084,9,0,2,2,1587.2672,0,0,0,0,0,0,1,0,0,0
FDC37,12.857645184135976,0,0.057556998,2,107.6938,28,0,0,0,214.3876,0,0,0,0,1,0,0,0,0,0
FDR28,13.85,1,0.025896485,2,165.021,16,0,0,2,4078.025,0,0,0,0,0,0,0,0,1,0
NCD06,13.0,0,0.099887103,2,45.906000000000006,6,2,2,2,838.908,0,0,1,0,0,0,0,0,0,0
FDV10,7.645,1,0.06669343700000001,2,42.3112,9,0,2,2,1065.28,0,0,0,0,0,0,1,0,0,0
DRJ59,11.65,0,0.019356131999999998,1,39.1164,26,2,2,2,308.9312,0,1,0,0,0,0,0,0,0,0
FDE51,5.925,1,0.161466534,1,45.5086,15,2,2,0,178.4344,1,0,0,0,0,0,0,0,0,0
FDC14,12.857645184135976,1,0.072221801,0,43.6454,28,0,0,0,125.8362,0,0,0,0,1,0,0,0,0,0
FDV38,19.25,0,0.17034855100000001,1,55.7956,15,2,2,0,163.7868,1,0,0,0,0,0,0,0,0,0
NCS17,18.6,0,0.080829372,1,96.4436,4,1,2,1,2741.7644,0,0,0,1,0,0,0,0,0,0
FDP33,18.7,0,0.0,2,256.6672,4,1,2,1,3068.0064,0,0,0,1,0,0,0,0,0,0
FDO23,17.85,0,0.0,0,93.1436,11,2,2,2,2174.5028,0,0,0,0,0,0,0,1,0,0
DRH01,17.5,0,0.097904029,1,174.8738,16,0,0,2,2085.2856,0,0,0,0,0,0,0,0,1,0
NCX29,10.0,0,0.08929113699999999,1,146.7102,14,1,0,2,3791.0652,0,0,0,0,0,0,0,0,0,1
FDV20,12.857645184135976,1,0.059511812000000004,2,128.0678,28,1,2,3,2797.6916,0,0,0,0,0,1,0,0,0,0
DRZ11,8.85,1,0.113123893,1,122.5388,4,1,2,1,1609.9044,0,0,0,1,0,0,0,0,0,0
FDX10,12.857645184135976,1,0.12311145300000001,2,36.9874,28,1,2,3,388.1614,0,0,0,0,0,1,0,0,0,0
FDB34,12.857645184135976,0,0.026480953999999998,2,87.6198,28,1,2,3,2180.495,0,0,0,0,0,1,0,0,0,0
FDU02,13.35,0,0.102511504,1,230.6352,16,0,0,2,3435.528,0,0,0,0,0,0,0,0,1,0
FDK43,9.8,0,0.02681843,1,126.00200000000001,26,2,2,2,2150.534,0,1,0,0,0,0,0,0,0,0
FDA46,13.6,0,0.117818348,2,192.9136,14,1,0,2,2527.3768,0,0,0,0,0,0,0,0,0,1
FDC02,21.35,0,0.06910283099999999,0,259.9278,4,1,2,1,6768.5228,0,0,0,1,0,0,0,0,0,0
