Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Sale_level,nu_Item_sale,Store_running_from
FDA15,9.3,3,0.016047301,Dairy,249.8092,OUT049,1999,3.0,1,3,3735.138,2,14.951963338419882,14
DRC01,5.92,2,0.019278216,Soft Drinks,48.2692,OUT018,2009,3.0,2,2,443.4228,3,9.186454302122264,4
FDN15,17.5,3,0.016760075,Meat,141.618,OUT049,1999,3.0,1,3,2097.27,2,14.809346269542008,14
FDX07,19.2,2,0.0,Fruits and Vegetables,182.095,OUT010,1998,1.0,2,1,732.38,3,4.021966555918614,15
NCD19,8.93,3,0.0,Household,53.8614,OUT013,1987,2.0,2,3,994.7052,3,18.467867526651737,26
FDP36,10.395,2,0.0,Baking Goods,51.4008,OUT018,2009,3.0,2,2,556.6088,3,10.82879643896593,4
FDO10,13.65,2,0.012741088999999999,Snack Foods,57.6588,OUT013,1987,2.0,2,3,343.5528,3,5.958375824678973,26
FDP10,12.857645184135976,3,0.127469857,Snack Foods,107.7622,OUT027,1985,3.0,2,4,4022.7636,1,37.33000625451225,28
FDH17,16.2,2,0.016687114,Frozen Foods,96.9726,OUT045,2002,3.0,3,3,1076.5986,3,11.102090693659859,11
FDU28,19.2,2,0.09444959,Frozen Foods,187.8214,OUT017,2007,3.0,3,3,4710.535,1,25.079863103991343,6
FDY07,11.8,3,0.0,Fruits and Vegetables,45.5402,OUT049,1999,3.0,1,3,1516.0266,3,33.28985379950022,14
FDA03,18.5,2,0.045463773,Dairy,144.1102,OUT046,1997,1.0,1,3,2187.153,2,15.17694791902308,16
FDX32,15.1,2,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,3.0,1,3,1589.2646,3,10.924387504416456,14
FDS46,17.6,2,0.047257328,Snack Foods,119.6782,OUT046,1997,1.0,1,3,2145.2076,2,17.924798334199547,16
FDF32,16.35,3,0.06802430000000001,Fruits and Vegetables,196.4426,OUT013,1987,2.0,2,3,1977.4260000000002,3,10.066177091934236,26
FDP49,9.0,2,0.06908896099999999,Breakfast,56.3614,OUT046,1997,1.0,1,3,1547.3192,3,27.453526704446656,16
NCB42,11.8,3,0.008596051,Health and Hygiene,115.3492,OUT018,2009,3.0,2,2,1621.8888,3,14.060685293005934,4
FDP49,9.0,2,0.06919637599999999,Breakfast,54.3614,OUT049,1999,3.0,1,3,718.3982,3,13.215226245093024,14
DRI11,12.857645184135976,3,0.034237682,Hard Drinks,113.2834,OUT027,1985,3.0,2,4,2303.6679999999997,2,20.335441909405965,28
FDU02,13.35,3,0.10249212,Dairy,230.5352,OUT035,2004,1.0,3,3,2748.4224,2,11.921920817298183,9
FDN22,18.85,2,0.138190277,Snack Foods,250.8724,OUT013,1987,2.0,2,3,3775.086,2,15.047833081678174,26
FDW12,12.857645184135976,2,0.035399923,Baking Goods,144.5444,OUT027,1985,3.0,2,4,4064.0432,1,28.11622726304167,28
NCB30,14.6,3,0.025698133999999997,Household,196.5084,OUT035,2004,1.0,3,3,1587.2672,3,8.077350382986173,9
FDC37,12.857645184135976,3,0.057556998,Baking Goods,107.6938,OUT019,1985,1.0,1,1,214.3876,3,1.990714414385972,28
FDR28,13.85,2,0.025896485,Frozen Foods,165.021,OUT046,1997,1.0,1,3,4078.025,1,24.712157846577107,16
NCD06,13.0,3,0.099887103,Household,45.906000000000006,OUT017,2007,3.0,3,3,838.908,3,18.274473924977126,6
FDV10,7.645,2,0.06669343700000001,Snack Foods,42.3112,OUT035,2004,1.0,3,3,1065.28,3,25.177258030970524,9
DRJ59,11.65,1,0.019356131999999998,Hard Drinks,39.1164,OUT013,1987,2.0,2,3,308.9312,3,7.8977411009193075,26
FDE51,5.925,2,0.161466534,Dairy,45.5086,OUT010,1998,1.0,2,1,178.4344,3,3.9208940727686636,15
FDC14,12.857645184135976,2,0.072221801,Canned,43.6454,OUT019,1985,1.0,1,1,125.8362,3,2.8831491978536112,28
FDV38,19.25,3,0.17034855100000001,Dairy,55.7956,OUT010,1998,1.0,2,1,163.7868,3,2.935478783273233,15
NCS17,18.6,3,0.080829372,Health and Hygiene,96.4436,OUT018,2009,3.0,2,2,2741.7644,2,28.42868163361799,4
FDP33,18.7,3,0.0,Snack Foods,256.6672,OUT018,2009,3.0,2,2,3068.0064,2,11.953246850396157,4
FDO23,17.85,3,0.0,Breads,93.1436,OUT045,2002,3.0,3,3,2174.5028,2,23.345702764333783,11
DRH01,17.5,3,0.097904029,Soft Drinks,174.8738,OUT046,1997,1.0,1,3,2085.2856,2,11.924516994541207,16
NCX29,10.0,3,0.08929113699999999,Health and Hygiene,146.7102,OUT049,1999,3.0,1,3,3791.0652,2,25.840501887394336,14
FDV20,12.857645184135976,2,0.059511812000000004,Fruits and Vegetables,128.0678,OUT027,1985,3.0,2,4,2797.6916,2,21.84539439265764,28
DRZ11,8.85,2,0.113123893,Soft Drinks,122.5388,OUT018,2009,3.0,2,2,1609.9044,3,13.137915501049463,4
FDX10,12.857645184135976,2,0.12311145300000001,Snack Foods,36.9874,OUT027,1985,3.0,2,4,388.1614,3,10.494422424933896,28
FDB34,12.857645184135976,3,0.026480953999999998,Snack Foods,87.6198,OUT027,1985,3.0,2,4,2180.495,2,24.885870545242057,28
FDU02,13.35,3,0.102511504,Dairy,230.6352,OUT046,1997,1.0,1,3,3435.528,2,14.895939561697434,16
FDK43,9.8,3,0.02681843,Meat,126.00200000000001,OUT013,1987,2.0,2,3,2150.534,2,17.067459246678624,26
FDA46,13.6,3,0.117818348,Snack Foods,192.9136,OUT049,1999,3.0,1,3,2527.3768,2,13.101081520431945,14
FDC02,21.35,3,0.06910283099999999,Canned,259.9278,OUT018,2009,3.0,2,2,6768.5228,1,26.040011110777684,4
FDL50,12.15,2,0.042277867000000004,Canned,126.5046,OUT013,1987,2.0,2,3,373.5138,3,2.952570894655214,26
FDM39,6.42,1,0.08949892599999999,Dairy,178.1002,OUT010,1998,1.0,2,1,358.2004,3,2.0112296336556614,15
NCP05,19.6,3,0.0,Health and Hygiene,153.3024,OUT045,2002,3.0,3,3,2428.8384,2,15.843446677938505,11
FDV49,10.0,3,0.025879577,Canned,265.2226,OUT045,2002,3.0,3,3,5815.0972,1,21.925345728456023,11
FDL12,15.85,2,0.121632721,Baking Goods,60.622,OUT046,1997,1.0,1,3,2576.646,2,42.50348058460625,16
FDS02,12.857645184135976,2,0.25539489600000004,Dairy,196.8794,OUT019,1985,1.0,1,1,780.3176,3,3.9634293887527083,28
NCL17,7.39,3,0.067779712,Health and Hygiene,143.8812,OUT046,1997,1.0,1,3,3134.5864,2,21.785934507079453,16
FDM40,10.195,3,0.159803853,Frozen Foods,141.5154,OUT013,1987,2.0,2,3,850.8924,3,6.012719463747408,26
FDR13,9.895,2,0.028696932,Canned,117.0492,OUT013,1987,2.0,2,3,810.9444,3,6.92823530617894,26
FDA43,10.895,3,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,3.0,3,3,3121.2704,2,15.894082576889428,6
NCP18,12.15,3,0.028760012999999997,Household,151.4708,OUT017,2007,3.0,3,3,4815.0656,1,31.78873815943403,6
FDK21,7.905,3,0.010053105,Snack Foods,249.0408,OUT018,2009,3.0,2,2,6258.52,1,25.13050070510535,4
NCX54,9.195,3,0.048157338,Household,106.1622,OUT045,2002,3.0,3,3,2117.244,2,19.943482708534678,11
DRK35,8.365,3,0.071958197,Hard Drinks,38.0506,OUT049,1999,3.0,1,3,796.9626,3,20.944810331505938,14
FDY21,15.1,3,0.17348130399999998,Snack Foods,194.511,OUT046,1997,1.0,1,3,4910.275,1,25.24420212738611,16
FDI26,12.857645184135976,3,0.061082177,Canned,180.0344,OUT019,1985,1.0,1,1,892.172,3,4.955564047759761,28
FDM20,10.0,3,0.0,Fruits and Vegetables,246.9144,OUT018,2009,3.0,2,2,3185.1872,2,12.899965332115096,4
FDV27,7.97,2,0.040071131,Meat,87.3514,OUT045,2002,3.0,3,3,1062.6168,3,12.164851393337715,11
FDF09,12.857645184135976,3,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,3.0,2,4,484.7024,3,12.660439652290206,28
FDY40,12.857645184135976,2,0.15028599,Frozen Foods,51.0692,OUT019,1985,1.0,1,1,147.8076,3,2.8942611202055253,28
FDY45,12.857645184135976,3,0.026015518999999997,Snack Foods,255.8356,OUT027,1985,3.0,2,4,2543.356,2,9.941368597646301,28
